mission,title,subtitle,author,type,desc
Core-Wisdom,Perfectionist vs. Optimalist,,,+1s,"Speaking of perfectionism, let’s look at the essence of Tal Ben-Shahar’s great book The Pursuit of Perfect."
Core-Wisdom,Reclaiming Lost Hours,,,+1s,"Before we bid farewell to George Leonard, how about ONE more little idea from the Aikido (and life) master?"
Core-Wisdom,Rehearsing Your Death,,,+1s,"In our last +1, we talked about the idea that the siren you might hear today wails for YOU. Then I suggested you actually IMAGINE yourself being put on that gurney at the end of your life."
Core-Wisdom,Soul Force Forge,,,+1s,"In our last +1, we talked about the importance of Virtue Management vis-a-vis Energy Management and Time Management."
Core-Wisdom,The Cardinal Virtues,,,+1s,The other day we chatted about my recent staycation with my Stoic friends.
Core-Wisdom,The Definition of Hell,,,+1s,"In Getting Grit, Caroline Adams Miller walks us through the science of grit and then helps us apply it to our lives."
Core-Wisdom,The Heroic Coach Diploma,,,+1s,"As you may have noticed (ahem and hah!), I’m super fired up about the launch of our 2020 Mastery Series and Heroic Coach certification programs."
Core-Wisdom,The Rise of Superyou,,,+1s,"Steven Kotler wrote a great book called The Rise of Superman. In it, he challenges some myths of mastery—telling us that it’s not so much about having the right DNA or the willpower to delay gratification for 10,000 hours."
Core-Wisdom,The Stoic Paradox,,,+1s,"Over the last couple of weeks, I’ve been having fun hanging out with some Stoics—some modern guys and some ancient ones."
Core-Wisdom,Thoughts + Heartbeats,,,+1s,Emily Fletcher was a Broadway performer living the dream.
Core-Wisdom,You vs. Your Problems,,,+1s,"In our last +1, we talked about the fact that the law does not concern itself with trifles and we busted out some old-school Latin and applied it to our lives."
Core-Wisdom,Your Limitations,,,+1s,"In our last +11 (that got long didn’t it?!), we talked about my love of the word forge and I invited you to join our Heroic Soul Force Forge."
Core-Wisdom,The Tools,"Transform Your Problems into Courage, Confidence, and Creativity","Phil Stutz, Barry Michels",Philosopher's Notes,"The Tools. This was easily the best book I read in 2012. It's *packed* with goodness. Stutz and Michels are two no-nonsense therapists who developed powerful tools to transform our problems into courage, confidence, and creativity. In this Note, we'll take a quick peek at how to put these powerful tools to work to create real change in our lives."
Core-Wisdom,Authentic Happiness,Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment,Martin Seligman,Philosopher's Notes,Martin Seligman is essentially the father of the Positive Psychology movement and in this Note we explore how important it is for us to use our Signature Strengths consistently throughout our day-to-day lives. We've got tips on how to discover our Strengths and how to move from a job to a career to a calling as we live a life of meaning and purpose. Good times.
Core-Wisdom,Flourish,A Visionary New Understanding of Happiness and Well-being,Martin Seligman,Philosopher's Notes,"Martin Seligman is one of the founding fathers of the Positive Psychology movement and this is the third Note we’ve done on one of his books. (Check out the Notes on his other classics: Learned Optimism and Authentic Happiness for more science of happiness goodness.) In this Note, we’ll explore his shift from Authentic Happiness Theory to Well-Being Theory as we wrap our brains around PERMA, his model of well-being that consists of Positive emotions + Engagement + Relationships + Meaning + Achievement. Good times."
Core-Wisdom,The Nicomachean Ethics,,Aristotle,Philosopher's Notes,"Aristotle's writings have been extraordinarily influential since ancient times. This treatise is named after his son and is a collection of his lecture notes--imagining attending his Lyceum and listening to him teach 2,300 years ago! Of course, it's packed with culture-changing Big Ideas. Some of my favorites we cover include the ultimate end: eudaimonic happiness (vs. ""happiness"" as most of us think about it!), how to achieve that eudaimonia (hint: ""virtuous activity of the soul"" aka areté), how to win the Olympic Games (hint: you can't just show up; you need to ACT!), the doctrine of the mean (and the vice of deficiency + excess) and the virtue of magnanimity: meet YOUR great soul."
Core-Wisdom,"“Hi, Optimus!”",,,+1s,"As we discussed in Greatest Year Ever 2019, one of my core themes for this year is to operationalize virtue—to help us (really!) move from theory to practice. More virtue and less chit chat style. 🤓"
Core-Wisdom,+1 or -1 = Destiny Math,,,+1s,Abraham Maslow studied the greatest people of his generation. People like Eleanor Roosevelt and Albert Einstein.
Core-Wisdom,100 Questions,,,+1s,In our last +1 we met our Angel’s Advocate via Michael Gelb’s great book How to Think Like Leonardo da Vinci.
Core-Wisdom,"Caterpillars, Butterflies and You",,,+1s,"In our last +1, we talked about Abraham Maslow’s wisdom and the ancient etymology of the word clamor in the context of your capacities clamoring to be used (aka you doing what you’re here to do!)."
Core-Wisdom,Good Bad Days,,,+1s,Jack Nicklaus once said that the real key to being a great golfer was “playing badly well.”
Core-Wisdom,How to High Five Your Inner Daimon,,,+1s,"To the extent that there’s a gap between who you’re capable of being in any given moment and who are actually being in that moment, you will experience a level of discontent. Regret. Anxiety. Depression."
Core-Wisdom,How to Learn Optimism,,,+1s,"In our last +1, we talked about Martin Seligman and the science of flourishing."
Core-Wisdom,Psychological Flexibility,,,+1s,Dan Siegel is one of the world’s leading mindfulness / neuroscience / interpersonal neurobiology experts.
Core-Wisdom,Simmer vs. Boil,,,+1s,Have you ever heard of “activation energy”?
Core-Wisdom,The #1 Key to Happiness + Flourishing,,,+1s,Imagine your ideal self.
Core-Wisdom,The 5 (Greek) Keys to Optimizing,,,+1s,We’re hitting another exciting milestone in our +1 series today: #200.
Core-Wisdom,Your Infinite Potential,,,+1s,Phil Stutz and Barry Michels wrote a great book called The Tools. There are five Tools in the book and we may chat about others later but I want to focus on the first for now.
Core-Wisdom,Falling Upward,A Spirituality for the Two Halves of Life,"Richard Rohr, OFM",Philosopher's Notes,"Alexandra got this book for me after I told her how much I loved David Brooks’ The Second Mountain. Apparently it is recommended alongside that book on Amazon. With 1,400+ reviews, Alexandra thought I might like it. Not only did I like the book, I loved it. And, I fell in love with Richard Rohr. Father Rohr is a Franciscan priest who beautifully integrates his faith with wisdom from various perspectives. Big Ideas we explore include our main Job in life (remembering that we're light bulbs and staying screwed in!), life's two major tasks, the fact that the way UP is DOWN (hence, the title of the book: Falling Upward), the hero and the heroine and their journeys, the paradox of the ego (""You ironically need a very strong ego structure to let go of your ego""), and how to become a Serene Disciple (let God drive)."
Core-Wisdom,Coming Alive,"4 Tools to Defeat Your Inner Enemy, Ignite Creative Expression & Unleash Your Soul’s Potential","Phil Stutz, Barry Michels",Philosopher's Notes,"I’m a HUGE fan of Phil and Barry's first book, The Tools. Coming Alive is kinda like The Tools Part 2. In this book, we get four new tools to go along with the original five tools. Big Ideas we explore include how to connect to our Life Force, defeat Part X (their name for that part of each of us that gets in the way), build our confidence and learn to see problems as gifts as we live a GREAT life."
Core-Wisdom,Everything Is Figureoutable,,Marie Forleo,Philosopher's Notes,"My wife Alexandra has been a huge fan of Marie’s for a long time. I knew she was awesome. But... As I told Alexandra: “I had no idea Marie was THAT awesome!!!” My excuse: I’ve been in hermit-mode and have done nothing but read books for 5 years (no blogs/videos/etc.) so I wasn’t able to get the full sense of Marie’s heroically brilliant and grounded and HILARIOUS power until this book came out. I’ve read and created PhilosophersNotes on well over 500 books. This is one of my ABSOLUTE (!) favorites of all time. I HIGHLY (!!!) recommend it. It’s in the same league as some of my other favorites like Deep Work Atomic Habits and The 5 Second Rule. (In fact, on my chalkboard right now, I actually have “EVERYTHING IS FIGUREOUTABLE” right above “5-4-3-2-1-GO!” ← Winning combo!) The book is PACKED (!) with Big Ideas and I’m excited to share a few of my favorites so let’s jump straight in!"
Core-Wisdom,The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Ryan Holiday,Philosopher's Notes,Ryan Holiday is brilliant. So is this book. The ancient Stoics taught us how to not only accept challenges but to thrive on them. Ryan brings their wisdom to life with compelling stories of great peeps who have rocked it in the face of adversity. In the Note we'll take a quick look at the three keys to making obstacles work for us: Perception + Action + Will.
Core-Wisdom,Antifragile 101,,,101 Classes,"You can be fragile, robust or antifragile. Do you break when you get hit by life? Or are you kinda resilient? Or… Are you antifragile—do you actually get STRONGER the more life kicks you around?! Learn how to get comfortable being uncomfortable as you step into your infinite potential and use *everything* to fuel your heroic growth."
Core-Wisdom,Hērōs,,,+1s,"Speaking of heroes and the reverse indicators we can expect to see on our heroic, dragon-slaying quest(s), do you know what the word “hero” actually means?"
Core-Wisdom,Victim vs. Creator,,,+1s,David Emerald wrote a great book called The Power of TED*.
Core-Wisdom,Antifragile,,,+1s,"In his great book Antifragile, Nassim Taleb walks us through the fact that there’s a big difference between being fragile, being resilient, and being ANTIfragile."
Core-Wisdom,Aristotle’s Virtuous Mean,,,+1s,"In our last +1, we talked about Seneca’s take on flexibility."
Core-Wisdom,Hope: Leadership’s Secret Sauce,,,+1s,"While we’re chatting about the science of hope, let’s focus on a key leadership stat."
Core-Wisdom,Begin with the End in Mind,,,+1s,"In our last +1, we talked about Stephen Covey’s Habit #1: Be Proactive. How? Be response-able. Step into the gap between stimulus and response and choose the optimal response."
Core-Wisdom,Being Exonerated,,,+1s,"In our last +1, I casually mentioned the fact that our heroic reframing of challenges is something we will work on forever."
Core-Wisdom,Death Cookies,,,+1s,"Continuing our theme of how to become Antifragile Heroes, let’s look at another way to rock it."
Core-Wisdom,Resurrections and Crucifixions,,,+1s,Joseph Campbell once said that we can’t have a resurrection without a crucifixion.
Core-Wisdom,Acres of Diamonds,,,+1s,"In our last +1 we had fun with our new mantra: “No pressure, no diamonds.”"
Core-Wisdom,Infinite Optionality,,,+1s,Let’s talk some more about how to become Antifragile.
Core-Wisdom,Keep Shooting,,,+1s,"Once upon a time (1938 to be precise) there was a pistol shooter. He was incredibly good. Hoped to be the very best, in fact."
Core-Wisdom,Mediocrity vs. Excellence,,,+1s,"In our last few +1s, we’ve been chatting about reaching the Peak of our potential."
Core-Wisdom,Noli Timere,,,+1s,"In our last +1, we spent some time hanging out with my friend Katherine Collins who is, I am quite sure, the only human on the planet who has run a multi-billion dollar mutual fund AND gone to Harvard Divinity School."
Core-Wisdom,Sacrifices vs. Decisions,,,+1s,Georges St-Pierre is one of the greatest mixed martial artists in the world. Ever.
Core-Wisdom,The Psychology of Hope,You Can Get There from Here,Charles R. Snyder,Philosopher's Notes,"Rick Snyder was the founder of research into the science of hope. And, he was one of the pioneers of the positive psychology movement. In fact, he literally wrote the textbook on “Positive Psychology.” Big Ideas we explore include the three components of hope (goals + willpower + way power), the portrait of a high-hope person, how to create the right goals, remembering you WILL face obstacles, the power of multiple pathways and being a time traveler making a difference."
Core-Wisdom,Swimming Rats,,,+1s,"Although I’m not a huge fan of some of the drawbacks of animal testing, this study is astonishing and worth knowing about."
Core-Wisdom,The Price of Success,,,+1s,"In our last +1, we talked about paying the price to achieve our wildly important goals—whatever they may be. I shared a partial accounting of the price I’ll be paying to have a shot at one of my big goals and we checked in on YOUR accounting. (How’d that go for you? 🤓)"
Core-Wisdom,The Stockdale Paradox,,,+1s,Vice Admiral James Stockdale was shot down during the Vietnam War. He spent seven and a half years in a brutal prison camp. He spent four of those years in solitary confinement and two years in leg irons. He was tortured fifteen times.
Core-Wisdom,Turning Around Glitches,,,+1s,True confidence doesn’t come from thinking everything will always go perfectly.
Core-Wisdom,The Enchiridion,,Epictetus,Philosopher's Notes,"Epictetus is one of three Stoic philosophers we profile (Marcus Aurelius and Seneca are the other two) and this former slave turned leading philosopher of his era is incredible. He echoes the wisdom of all the great teachers as he reminds us that, if we want to be happy, we've gotta realize the only thing we have control over is our response to a situation. We'll have fun tapping into a lot more of his vast mojo in the Note."
Core-Wisdom,The Stoic Challenge,"A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,Philosopher's Notes,"William B. Irvine is a professor of philosophy at Wright State University. He’s also a fantastic (and prolific) writer. And… Unlike many of his academic, professor-of-philosophy peers, he is a practicing Stoic philosopher. In the words of Donald Robertson (another Stoic author and practitioner; see The Philosophy of Cognitive Behavioral Therapy), he is both a librarian AND a warrior of the mind. We featured another one of Professor Irvine’s great books on Stoicism called A Guide to the Good Life. I enjoyed that one quite a bit but I REALLY (!) enjoyed this one. Like, jumbo loved it. In fact, I’m going to put this one right at the top of our growing collection of books on Stoicism—along with the must-read classics by Aurelius (Meditations), Seneca (Letters from a Stoic, On the Shortness of Life), and Epictetus (Discourses, Enchiridion) plus the modern classics like Ryan Holiday’s The Obstacle Is the Way and The Daily Stoic. If you’re looking for “A Philosopher’s Guide to Becoming Tougher, Calmer, and More Resilient,” I think you’ll enjoy it as much as I did. I HIGHLY recommend it."
Core-Wisdom,With Winning in Mind,The Mental Management System,Lanny Bassham,Philosopher's Notes,"This is a SHOCKINGLY good book. Want to get your mind right? Lanny Bassham, an Olympic gold medalist, has been teaching the art of mental training/peak performance for decades and this book tells us just how to rock it. In the Note, we'll look at the importance of making the process primary and other fundamentals of mental mastery."
Core-Wisdom,The Philosophy of Cognitive Behavioural Therapy,Stoic Philosophy as Rational and Cognitive Psychotherapy,Donald Robertson,Philosopher's Notes,"Got problems with your soul? These days, you’d see a psychotherapist. But, back in the day, it was the philosopher who’d help you optimize—they were the preferred physician of the soul. This book is about the philosophical roots of modern psychotherapy. Specifically, it outlines the connection between cognitive behavioral therapy (CBT) and Stoicism. Big Ideas we explore include being a warrior of the mind vs. a librarian of the mind, your highest human purpose, getting on good terms with your inner daimon, practicing the reserve clause and modeling your ideal sage."
Core-Wisdom,An Indestructible Mind,,,+1s,"In our last +1, we talked about inviting the Conquering Hero to your mind-wandering party and escorting out the Suffering (Whiney) Martyr."
Core-Wisdom,Follow Your Grunt,,,+1s,In our last +1 we had fun exploring the ancient wisdom that led Joseph Campbell to tell us: “Follow your bliss!”
Core-Wisdom,Hērōic Reframing,,,+1s,"Continuing our heroic theme, let’s talk a little more about how to build antifragile, heroic confidence."
Core-Wisdom,How to Get Super Shiny,,,+1s,"In our last +1, we had fun applying Rumi’s wisdom that God turns us from one feeling to another so we have two wings to fly and not one."
Core-Wisdom,How to Make a Pearl,,,+1s,"One of our very first +1s was on a brilliant line from Steven Kotler. At the end of our interview about his great book The Rise of Superman, I asked him what one piece of wisdom he’d share with someone passionate about (and committed to!) Optimizing their lives so they could actualize their potential."
Core-Wisdom,How to Use Our Optimizing Tools,,,+1s,"A little while back, we talked about the keynote talk I was getting ready to present (as part of the Pritzker Group Venture Capital’s annual event for the 60+ portfolio CEOs). Today I’d like to give a quick update on how it went and then talk about how I dealt with my nerves leading up to it—with an emphasis on a little distinction I made about how to apply the “Bring it on!” and “I’m excited!” tools."
Core-Wisdom,Idiosyncratic Optimizing,,,+1s,Idiosyncratic.
Core-Wisdom,Mistakes? They’re Just Mis-takes,,,+1s,Imagine yourself as the Director of a movie.
Core-Wisdom,OMMS,,,+1s,"Ultimately, what we want to get *really* (!!!) good at alchemizing any and all challenges into fuel for the bonfire that is our passionate commitment to living a heroic life in service to something bigger than ourselves."
Core-Wisdom,UPERSIST!,,,+1s,"In our last +1, we talked about you feasting on your Hero Bars—using memories of your past success as fuel to walk through fear doors today."
Core-Wisdom,Warriors vs. Librarians,,,+1s,"Our last +1 was about a modern-day warrior, Georges St-Pierre."
Core-Wisdom,Wearing Scars As Medals,,,+1s,"In our last +1 we chatted about the fact that, as Campbell tells us, when we go for bliss on our hero’s journey we need to remember that there’s always the chance for a fiasco. (Hah!)"
Core-Wisdom,Rethinking Positive Thinking,Inside the New Science of Motivation,Gabriele Oettingen,Philosopher's Notes,"Gabriel Oettingen is one of the world’s leading researchers in “The New Science of Motivation.” The basic idea of the book is captured in a clever image on the cover: Rose colored glasses with one lens cracked. Oettingen walks us thru the compelling research that demonstrates the power of seeing both the positive AND the challenges. When we contrast our wishes with the obstacles to their attainment we, almost magically, catalyze an extraordinarily higher level of performance."
Core-Wisdom,Grit,The Power of Passion and Perseverance,Angela Duckworth,Philosopher's Notes,"Angela Duckworth is the world’s leading authority on the science of grit. In fact, she pioneered the field and, as Daniel Gilbert says on the cover: “Psychologists have spent decades searching for the secret of success, but Duckworth is the one who found it.” In this Note, we explore the two facets of grit (hint: passion + perseverance, why they’re important and how to cultivate them."
Core-Wisdom,Mindset,The New Psychology of Success,Carol Dweck,Philosopher's Notes,"Carol Dweck, Ph.D is a Stanford Professor and one of the world’s leading authorities on the science of motivation. She tells us that our “mindset”—how we see the world—determines a *huge* part of our overall happiness and well-being and achievement. In this Note, we’ll explore the difference between a “fixed mindset” and a “growth mindset” and some Big Ideas on why we want to learn how to live from a growth mindset. And, of course, how to do it!"
Core-Wisdom,“That’s NOT Like Me!”,,,+1s,In our last +1 we had fun cultivating a strong Self-Image via “That’s like me!” imprints.
Core-Wisdom,3:59.4,,,+1s,"At this point, most of us know that Roger Bannister was the first person to break the 4-minute mile. Very smart people of his era said that it was impossible. Period. End of story. He, of course, wasn’t so sure."
Core-Wisdom,Adaptability + Homeostasis,,,+1s,We’ve talked a lot about how important it is to get out of our comfort zones.
Core-Wisdom,Deo Volente + Thy Will Be Done,,,+1s,Deo volente.
Core-Wisdom,Dynamic Equilibrium,,,+1s,Osho had a great line.
Core-Wisdom,Dynamic Tension,,,+1s,"So, we have the ONE thing you’re going after in your epically awesome heroic quest. (Right? You identify that dream with a ton of pull power?)"
Core-Wisdom,How to Build Your Grit,,,+1s,"Angela Duckworth created the science of Grit. It’s fascinating. She defines it as intense passion + intense perseverance. In short, you’re REALLY fired up about something and you’re willing to show up every day for however long it takes to make your dream a reality."
Core-Wisdom,Motivation = ENERGY x (Value x Expectancy / Impulsivity x Delay),,,+1s,Yesterday we talked about our motivation equation. You know: Motivation = Value x Expectancy / Impulsivity x Delay
Core-Wisdom,Now What Needs to Be Done?,,,+1s,David Reynolds wrote what might be the best book you (and most other people) have never heard of.
Core-Wisdom,Relentless Solution Focus,,,+1s,Jason Selk is one of the world’s leading mental toughness coaches. He tells us that the best among us have a “relentless solution focus.”Note: RELENTLESS solution focus.
Core-Wisdom,Reverse Indicators,,,+1s,"So, let’s say you’ve decided to embark on a heroic quest. It’s time for you to leave the normal, routine life and really go for it—stretching yourself to dare greatly and do what you’re here to do."
Core-Wisdom,Running Experiments,,,+1s,"In our last +1, we talked about Professor Harari’s two world maps—one before The Scientific Revolution that was all filled in (including areas they knew NOTHING about) and one after that had plenty of empty spaces (accounting for all they things they didn’t know)."
Core-Wisdom,Styrofoam Weights,,,+1s,"As we’ve discussed, years ago I did 1-on-1 coaching with one of my favorite authors, Steve Chandler. It was awesome."
Core-Wisdom,"""That's Like Me!""",,,+1s,"Whether you’re an athlete, entrepreneur, teacher, parent, manager, or — fill in the blank here —, what percentage of your game do you think is mental?"
Core-Wisdom,"The Dreaded “U-Lag"" on Your Heroic Quest",,,+1s,"Returning to our Hero’s journey theme, imagine yourself at the start of an epic journey. You’re looking out across a canyon. You can see a shimmering oasis on the other side of the canyon. It’s epic. Super bright and shiny and awesome. And it’s yours. You know it. You can feel it."
Core-Wisdom,The Power of Micro Wins,,,+1s,"Continuing our theme of spending time with some of the best productivity thinkers on the planet, let’s cruise on over to Harvard Business School and spend some time with its head of research, Teresa Amabile."
Core-Wisdom,Threat vs. Challenge,,,+1s,"In our last +1, we met our telomeres and learned how important they are in protecting our chromosomes so they can do their job and keep us nice and healthy. (Recall that they’re kinda like the end caps on our shoelaces and the offensive linemen that protect our quarterbacks!)"
Core-Wisdom,WOOP! There It Is,,,+1s,Gabriele Oettingen is a world-class researcher who has spent her career studying the science of making your dreams come to life.
Core-Wisdom,The Alter Ego Effect,The Power of Secret Identities to Transform Your Life,Todd Herman,Philosopher's Notes,"The Alter Ego Effect. This is one of the most fun and compelling and inspiring books I’ve read in awhile. I REALLY (!!!) enjoyed reading it, had a ton of fun constructing and playing with some potential Alter Egos and highly recommend it. I also really enjoyed how high-performance coach and mental game strategist Todd Herman describes the science behind the power of “secret identities” to transform our lives and I loved the parallels between his perspective and our Big 3 Identities > Virtues > Behaviors model. Big Ideas we explore include Superman + Clark Kent (who's who?), activating your Heroic Self (the science of), motivation and emotion (share a common Latin root), virtues as super powers (more on the science of), and Crossing the Threshold (Today the day?)."
Core-Wisdom,On Becoming a Leader,,Warren Bennis,Philosopher's Notes,"Warren Bennis is one of the world’s leading authorities on leadership. This is, as Peter Drucker puts it, his “most important book.” Big Ideas we explore include the basic ingredients of leadership (#1 = Guiding Vision!), the importance of self-invention (hint: write your own story!), the power of trusting ourselves, choosing to express ourselves rather than prove ourselves, how to cultivate trust, and becoming a world-class leader."
Core-Wisdom,Self-Reliance,,Ralph Waldo Emerson,Philosopher's Notes,"Ralph Waldo Emerson. He’s the great-great-grandfather in my spiritual family tree. We named our son Emerson after this great 19th century philosopher and when I imagine the heroes whose qualities I want to emulate, he’s on the top of the list. Big Ideas we explore include: Trust thyself (every heart vibrates to that iron string!), nonconformity (and the integrity of your own mind), what must you do? (vs. what will they think?), Hobgoblins (begone), your voyage (of a thousand zigs and zags), and the Royal You (act like that now!)."
Core-Wisdom,What To Say When You Talk to Yourself,Powerful New Techniques to Program Your Potential for Success!,"Shad Helmstetter, Ph.D.",Philosopher's Notes,"What do you say when you talk to yourself? Is it empowering? Or not so much? Shad Helmstetter tells us nothing matters quite as much as that. Big Ideas include why and how we need to upgrade our programming, the 5 levels of Self-Talk, and conquering our greatest challenge."
Core-Wisdom,A Quick Trip to Michelangelo’s Studio,,,+1s,"In our last +1, we took a quick trip to hell in which (in the last moment of your life!) we met the version of you that you COULD have been."
Core-Wisdom,Big 3: Decade View + Core Habits,,,+1s,In our last couple +1s we talked about taking the decade-long view of our lives. Then we chatted about how to create great days consistently.
Core-Wisdom,Identity → Behaviors → Feelings,,,+1s,"Continuing our theme of feelings following behavior, let’s chat about some wisdom from the author of Resilience."
Core-Wisdom,Learning Cycles,,,+1s,"In our last +1, we talked about the PM ritual Pythagoras came up with 2,500 years ago (!) that the Stoics liked to follow:"
Core-Wisdom,Sweeping Streets with Martin Luther King,,,+1s,"In our last +1, we talked about Martin Seligman’s ideas on the science of having a Job vs. a Career vs. a Calling. I proposed we aim to have ALL THREE such that our work involves us using our signature strengths in greatest service to the world WHILE getting paid well AND having fun mastering our chosen domain."
Core-Wisdom,The 4-Hour Workday,,,+1s,"In our last +1, we talked about the fact that we need to train our recovery the same way we train our Deep Work. We want to create nice, rhythmic waves in our lives and prioritize rest. One great way to do that? Deep Play."
Core-Wisdom,Today's To-Be List,,,+1s,"In our last +1, we talked about living your eulogy virtues TODAY. We don’t want to think of our eulogy virtues as some abstract notion of the ideal you, but as a moment to moment compass that points you in the direction of the most exemplary, noble version of yourself."
Core-Wisdom,Virtue Management,,,+1s,"Last night as I was falling asleep, I was reflecting on the wonderful time I spent with a dear friend who came up to Ojai for a hike to chat about his next hero’s journey."
Core-Wisdom,You + Michelangelo + Your Potential,,,+1s,"Legend has it that when Michelangelo stepped up to a block of marble, he could see the finished statue in his mind’s eye."
Core-Wisdom,The Power of TED*,*The Empowerment Dynamic,David Emerald,Philosopher's Notes,"David Emerald's wonderfully wise fable rocks. In this Note, we'll take a quick look at one of my favorite books as we explore the importance of stepping out of DDT (the Dreaded Drama Triangle) and stepping into TED (The Empowerment Dynamic) as we learn to more consistently live from a Creator's perspective (rather than a Victim's) and learn how to hold the tension between our ideals and our current realities by taking baby steps."
Core-Wisdom,The Procrastination Equation,How to Stop Putting Things Off and Start Getting Stuff Done,Piers Steel,Philosopher's Notes,"Did you know there’s an equation for Procrastination? Yep. Expectancy x Value / Impulsiveness x Delay = Motivation. Thank you, Piers Steel. In this great book, Piers (a leading researcher on the science of motivation/procrastination) walks us thru the power of that equation. Big Ideas we explore include: Mental Contrasting (and why it beats creative visualization), goal setting (3 scientific keys) and how to add a month of productivity to your year."
Core-Wisdom,On the Shortness of Life,Life Is Long If You Know How to Use It,Seneca,Philosopher's Notes,"Seneca was an old-school Roman statesman and one of history’s leading Stoic philosophers. In this book he tells us that life is only short if you don’t know how to use it and also gives us some tips on how to deal with challenging times and cultivate tranquility. Big Ideas we explore include making T.O.D.A.Y. the day, how to deal with being exiled (never know when it could happen ;), and why flexibility is the virtuous road to tranquility (and how to avoid the detours)."
Core-Wisdom,Meditations,,Marcus Aurelius,Philosopher's Notes,"Marcus Aurelius was the Emperor-Philosopher of the Roman Empire and one of the most enlightened leaders ever. Meditations is a collection of journal entries he wrote to himself and in this Note, we'll explore some Big Ideas of his Stoic philosophy—from the importance of never confusing ourselves with visions of a lifetime all at once, to not worrying about what others think of us and living a life of purpose and service."
